day_of_week, month, breakfast_booked, lunch_booked, dinner_booked, menu_type, total_booked, waste_pct, waste_kg, money_wasted_inr, actual_attendance
          0,     0,              175,          305,           291,         0,          771,      6.65,    27.48,          2198.56,               728
          1,     0,              164,          303,           308,         0,          775,      5.99,    24.96,          1996.95,               757
          2,     0,              160,          318,           271,         0,          749,      5.39,    21.78,          1742.18,               692
          3,     0,              171,          269,           248,         1,          688,      3.0 ,    10.99,           878.88,               656
          4,     0,              152,          314,           263,         1,          729,      3.0 ,    11.82,           945.24,               659
          5,     0,              135,          204,           191,         1,          530,      3.91,    11.01,           880.42,               481
          6,     0,              105,          211,           169,         1,          485,      9.03,    23.61,          1888.51,               463
          0,     0,              158,          302,           269,         1,          729,      3.0 ,    11.77,           941.64,               657
          1,     0,              167,          286,           294,         1,          747,      3.0 ,    12.0 ,           960.24,               662
          2,     0,              171,          268,           256,         1,          695,      3.0 ,    11.1 ,           888.0 ,               628
          3,     0,              179,          311,           277,         1,          767,      3.0 ,    12.32,           985.32,               695
          4,     0,              145,          293,           271,         0,          709,      7.21,    27.61,          2208.49,               635
          5,     0,              119,          173,           195,         0,          487,     13.39,    34.63,          2770.02,               470
          6,     0,              103,          221,           208,         1,          532,      8.77,    25.26,          2020.86,               496
          0,     0,              155,          301,           285,         1,          741,      3.0 ,    11.98,           958.44,               725
          1,     0,              160,          304,           260,         0,          724,      5.18,    20.18,          1614.62,               680
          2,     0,              180,          335,           278,         1,          793,      3.0 ,    12.78,          1022.16,               703
          3,     0,              173,          295,           286,         1,          754,      3.0 ,    12.11,           968.4 ,               732
          4,     0,              167,          339,           232,         0,          738,      6.59,    26.21,          2096.41,               672
          5,     0,              115,          203,           191,         0,          509,     11.77,    32.13,          2570.23,               467
          6,     0,              110,          216,           216,         1,          542,      7.46,    21.8 ,          1743.96,               497
          0,     0,              155,          297,           296,         0,          748,      6.04,    24.35,          1948.26,               699
          1,     0,              160,          318,           281,         1,          759,      3.0 ,    12.28,           982.44,               718
          2,     0,              157,          301,           272,         1,          730,      3.0 ,    11.79,           943.2 ,               701
          3,     0,              172,          313,           280,         0,          765,      5.34,    21.92,          1753.21,               693
          4,     0,              146,          299,           273,         1,          718,      3.0 ,    11.64,           931.08,               638
          5,     0,              111,          217,           223,         0,          551,     12.87,    38.27,          3061.59,               526
          6,     0,              117,          207,           155,         1,          479,      8.79,    22.53,          1802.73,               458
          0,     0,              168,          357,           276,         0,          801,      5.23,    22.64,          1811.2 ,               756
          1,     0,              167,          284,           300,         1,          751,      3.0 ,    12.07,           965.28,               734
          2,     1,              179,          289,           305,         1,          773,      3.0 ,    12.38,           990.6 ,               726
          3,     1,              176,          351,           262,         0,          789,      4.71,    20.03,          1602.44,               772
          4,     1,              169,          297,           252,         1,          718,      3.0 ,    11.53,           922.56,               650
          5,     1,               98,          218,           173,         1,          489,      6.9 ,    18.31,          1464.68,               443
          6,     1,              102,          202,           204,         1,          508,      7.4 ,    20.28,          1622.23,               463
          0,     1,              171,          334,           251,         0,          756,      5.81,    23.63,          1890.29,               671
          1,     1,              171,          323,           257,         1,          751,      3.0 ,    12.11,           968.52,               709
          2,     1,              175,          313,           284,         1,          772,      3.0 ,    12.42,           993.6 ,               727
          3,     1,              157,          312,           285,         1,          754,      3.0 ,    12.2 ,           976.2 ,               680
          4,     1,              195,          317,           258,         1,          770,      3.0 ,    12.3 ,           984.24,               744
          5,     1,               99,          224,           210,         1,          533,      4.35,    12.59,          1007.1 ,               477
          6,     1,              128,          217,           204,         0,          549,     17.28,    50.74,          4059.3 ,               536
          0,     1,              164,          292,           263,         0,          719,      5.56,    21.44,          1715.21,               643
          1,     1,              166,          314,           284,         1,          764,      3.0 ,    12.33,           986.4 ,               717
          2,     1,              168,          337,           275,         1,          780,      3.0 ,    12.62,          1009.56,               737
          3,     1,              177,          290,           260,         1,          727,      3.0 ,    11.63,           930.72,               668
          4,     1,              164,          322,           288,         1,          774,      3.0 ,    12.52,          1001.28,               695
          5,     1,              101,          178,           181,         1,          460,      6.79,    16.74,          1339.38,               437
          6,     1,              117,          184,           193,         0,          494,     16.9 ,    44.5 ,          3560.12,               476
          0,     1,              154,          311,           281,         1,          746,      3.0 ,    12.08,           966.6 ,               660
          1,     1,              173,          319,           299,         1,          791,      3.0 ,    12.75,          1020.12,               746
          2,     1,              147,          289,           289,         1,          725,      3.0 ,    11.73,           938.76,               706
          3,     1,              175,          385,           290,         0,          850,      5.16,    23.75,          1900.37,               777
          4,     1,              182,          321,           274,         0,          777,      5.95,    24.77,          1981.36,               747
          5,     1,              102,          204,           181,         0,          487,     13.76,    36.16,          2892.46,               463
          6,     1,              148,          171,           202,         0,          521,     14.89,    40.65,          3251.84,               477
          0,     1,              160,          329,           281,         1,          770,      3.0 ,    12.48,           998.28,               689
          1,     1,              157,          321,           266,         1,          744,      3.0 ,    12.05,           964.08,               682
          2,     1,              168,          294,           318,         0,          780,      5.81,    24.3 ,          1944.23,               724
          3,     1,              137,          311,           268,         0,          716,      6.94,    26.99,          2159.22,               685
          4,     2,              156,          305,           289,         1,          750,      3.0 ,    12.13,           970.44,               711
          5,     2,               95,          202,           181,         1,          478,      3.31,     8.56,           684.62,               429
          6,     2,              140,          217,           167,         0,          524,     14.87,    41.36,          3308.64,               492
          0,     2,              199,          328,           252,         1,          779,      3.0 ,    12.45,           996.0 ,               699
          1,     2,              187,          293,           287,         0,          767,      4.11,    16.81,          1344.52,               725
          2,     2,              154,          306,           221,         0,          681,      3.97,    14.54,          1163.47,               635
          3,     2,              164,          283,           309,         0,          756,      3.0 ,    12.16,           972.84,               717
          4,     2,              161,          310,           305,         1,          776,      3.0 ,    12.54,          1003.56,               705
          5,     2,              131,          209,           172,         1,          512,      3.69,    10.05,           804.06,               487
          6,     2,              116,          196,           191,         0,          503,     14.15,    38.06,          3044.95,               489
          0,     2,              169,          321,           308,         1,          798,      3.0 ,    12.89,          1031.04,               751
          1,     2,              199,          268,           277,         1,          744,      3.0 ,    11.78,           942.6 ,               714
          2,     2,              172,          295,           276,         1,          743,      3.0 ,    11.93,           954.24,               709
          3,     2,              159,          324,           286,         0,          769,      3.0 ,    12.46,           996.72,               729
          4,     2,              181,          314,           294,         1,          789,      3.0 ,    12.67,          1014.0 ,               741
          5,     2,              101,          197,           203,         1,          501,      3.97,    10.74,           859.03,               486
          6,     2,              113,          211,           212,         1,          536,      5.49,    15.82,          1265.9 ,               472
          0,     2,              176,          303,           276,         0,          755,      4.55,    18.4 ,          1471.86,               669
          1,     2,              180,          324,           303,         0,          807,      3.0 ,    12.99,          1039.32,               788
          2,     2,              178,          301,           285,         0,          764,      3.44,    14.04,          1122.98,               714
          3,     2,              169,          319,           265,         1,          753,      3.0 ,    12.14,           971.4 ,               683
          4,     2,              152,          283,           300,         1,          735,      3.0 ,    11.87,           949.44,               716
          5,     2,              123,          221,           189,         0,          533,     10.29,    29.4 ,          2351.65,               493
          6,     2,              115,          195,           207,         0,          517,     14.13,    39.11,          3128.93,               499
          0,     2,              155,          301,           287,         0,          743,      3.4 ,    13.63,          1090.51,               707
          1,     2,              155,          312,           284,         1,          751,      3.0 ,    12.16,           972.96,               661
          2,     2,              160,          312,           253,         1,          725,      3.0 ,    11.71,           936.84,               672
          3,     2,              157,          303,           285,         0,          745,      5.01,    20.09,          1607.1 ,               690
          4,     2,              180,          304,           279,         1,          763,      3.0 ,    12.24,           978.84,               688
          5,     2,              113,          203,           195,         0,          511,     10.67,    29.27,          2341.7 ,               479
          6,     3,              121,          239,           188,         1,          548,      6.1 ,    18.01,          1440.9 ,               494
          0,     3,              178,          299,           284,         1,          761,      3.0 ,    12.2 ,           976.32,               693
          1,     3,              169,          292,           280,         1,          741,      3.0 ,    11.9 ,           952.32,               656
          2,     3,              189,          327,           318,         0,          834,      3.0 ,    13.4 ,          1072.08,               748
          3,     3,              181,          311,           319,         0,          811,      3.0 ,    13.03,          1042.68,               745
